TIMESTAMP_ISO,External_Temp,Conductivity_us,SpConductivity_us,Salinity,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PE_RFU,BGA_PE_ugL,Lat,Long,ODO_Sat,Depth
2025-04-28T13:00:00,5.462465,30462.98,48598.24,31.11599,0.7330168,0.1832542,0.01276221,0.03573418,-68,44,4,1
2025-04-28T14:00:00,5.635886,30522.9,48437.87,31.02319,0.2480258,0.06200645,-0.03855423,-0.1079518,-68,44,4,1
2025-04-28T15:00:00,5.730331,30577.64,48386.22,30.99768,0.4651963,0.1162991,0.01660776,0.04650172,-68,44,4,1
2025-04-28T16:00:00,6.055156,30830.61,48312.21,30.98221,0.4461889,0.1115472,-0.2435159,-0.6818446,-68,44,4,1
2025-04-28T17:00:00,5.772096,30578.7,48326.89,30.96051,1.43136,0.3578401,0.5594891,1.566569,-68,44,4,1
2025-04-28T18:00:00,5.711315,30571.87,48404.91,31.00869,1.102065,0.2755162,1.478134,4.138774,-68,44,4,1
2025-04-28T19:00:00,5.845024,30711.03,48429.41,31.04153,1.833405,0.4583514,0.9714535,2.72007,-68,44,4,1
2025-04-28T20:00:00,5.771921,30675.7,48480.45,31.06926,1.617906,0.4044764,0.6441387,1.803588,-68,44,4,1
2025-04-28T21:00:00,5.602359,30600.92,48611.07,31.14186,1.394167,0.3485417,0.7787448,2.180485,-68,44,4,1
2025-04-28T22:00:00,5.769084,30637.94,48424.92,31.02959,2.564232,0.6410581,1.317789,3.689809,-68,44,4,1
2025-04-28T23:00:00,5.747578,30638.35,48457.03,31.04983,1.790126,0.4475316,0.9270921,2.595858,-68,44,4,1
2025-04-29T00:00:00,5.570853,30495.07,48489.29,31.05189,1.60335,0.4008375,0.5090755,1.425411,-68,44,4,1
2025-04-29T01:00:00,5.522556,30496.78,48563.24,31.09846,2.463733,0.6159333,1.727831,4.837926,-68,44,4,1
2025-04-29T02:00:00,5.549479,30501.93,48531.7,31.07936,1.413741,0.3534353,0.6269875,1.755565,-68,44,4,1
2025-04-29T03:00:00,5.553527,30495.83,48516.02,31.06875,1.730055,0.4325139,0.8292192,2.321814,-68,44,4,1
2025-04-29T04:00:00,5.552687,30495.12,48516.12,31.06872,2.209616,0.5524041,0.9560706,2.676998,-68,44,4,1
2025-04-29T05:00:00,5.585835,30488.08,48456.12,31.03019,1.883743,0.4709358,1.396755,3.910913,-68,44,4,1
2025-04-29T06:00:00,5.600414,30477.62,48418.06,31.00497,1.17451,0.2936276,0.6125394,1.71511,-68,44,4,1
2025-04-29T07:00:00,5.60675,30491.63,48431.01,31.01489,1.082642,0.2706605,0.048756,0.1365168,-68,44,4,1
2025-04-29T08:00:00,5.622522,30523.72,48458.8,31.03643,0.6416025,0.1604006,-0.1572938,-0.4404227,-68,44,4,1
2025-04-29T09:00:00,5.552246,30500.96,48526.08,31.07571,0.2302464,0.0575616,-0.186947,-0.5234516,-68,44,4,1
2025-04-29T10:00:00,5.565422,30519.54,48536.2,31.08445,0.2868286,0.07170716,-0.2353709,-0.6590384,-68,44,4,1
2025-04-29T11:00:00,5.890192,30747.69,48421.35,31.04099,0.6353306,0.1588326,0.01686372,0.04721841,-68,44,4,1
2025-04-29T12:00:00,5.790762,30695.34,48483.92,31.0739,0.2140841,0.05352102,-0.2445832,-0.684833,-68,44,4,1
2025-04-29T13:00:00,5.78731,30720.64,48528.93,31.10539,0.1904788,0.04761971,-0.3119051,-0.8733342,-68,44,4,1
2025-04-29T14:00:00,5.786331,30705.48,48506.41,31.08933,0.2556204,0.0639051,-0.2319171,-0.6493679,-68,44,4,1
2025-04-29T15:00:00,5.996729,30856.99,48438.26,31.06505,0.1703021,0.04257552,-0.06448891,-0.1805689,-68,44,4,1
2025-04-29T16:00:00,5.954975,30778.85,48376.16,31.01631,0.3716645,0.09291612,-0.1598681,-0.4476306,-68,44,4,1
2025-04-29T17:00:00,5.88203,30731.63,48407.95,31.03056,0.5274379,0.1318595,-0.09751315,-0.2730368,-68,44,4,1
2025-04-29T18:00:00,5.977096,30758.56,48312.18,30.97346,0.8898985,0.2224746,0.1395008,0.3906021,-68,44,4,1
2025-04-29T19:00:00,5.830534,30704.56,48440.36,31.04762,1.329608,0.3324021,1.002449,2.806857,-68,44,4,1
2025-04-29T20:00:00,5.7788,30697.39,48504.66,31.08722,1.773521,0.4433802,0.6264274,1.753997,-68,44,4,1
2025-04-29T21:00:00,6.493607,30100.47,46557.12,29.78612,3.909188,0.9772969,0.4922979,1.378434,-68,44,4,1
2025-04-29T22:00:00,6.251395,30419.76,47390.07,30.35027,2.213168,0.5532919,1.485295,4.158826,-68,44,4,1
2025-04-29T23:00:00,6.169672,30474.32,47590.79,30.48364,2.114065,0.5285163,1.30926,3.665928,-68,44,4,1
2025-04-30T00:00:00,6.035244,30506.15,47832.29,30.63997,1.898623,0.4746558,1.445641,4.047796,-68,44,4,1
2025-04-30T01:00:00,6.017457,30332.95,47586.06,30.46376,1.816794,0.4541986,1.113951,3.119062,-68,44,4,1
2025-04-30T02:00:00,6.071791,30394.34,47604.87,30.48301,1.440181,0.3600451,0.6470418,1.811717,-68,44,4,1
2025-04-30T03:00:00,6.188185,30423.7,47485.52,30.41111,2.043166,0.5107915,1.270923,3.558584,-68,44,4,1
2025-04-30T04:00:00,6.093092,30247.04,47344,30.30078,2.843008,0.710752,0.8724506,2.442862,-68,44,4,1
2025-04-30T05:00:00,6.084138,30270.04,47392.68,30.33424,1.598781,0.3996953,1.254369,3.512232,-68,44,4,1
2025-04-30T06:00:00,6.160593,30177.09,47139.38,30.16332,1.412544,0.353136,1.855475,5.19533,-68,44,4,1
2025-04-30T07:00:00,6.224831,30141.26,46993.34,30.06688,1.317814,0.3294535,0.4779966,1.338391,-68,44,4,1
2025-04-30T08:00:00,6.276829,30167.64,46961.76,30.05,1.075426,0.2688564,0.5860965,1.64107,-68,44,4,1
2025-04-30T09:00:00,6.336823,30211.68,46946.57,30.04548,0.6761938,0.1690485,0.02269587,0.06354845,-68,44,4,1
2025-04-30T10:00:00,6.360517,30531.35,47409.96,30.37581,0.2641303,0.06603257,-0.1096361,-0.3069811,-68,44,4,1
2025-04-30T11:00:00,6.486797,30451.96,47110.24,30.17663,0.8427514,0.2106878,-0.1057668,-0.2961472,-68,44,4,1
2025-04-30T12:00:00,6.502058,30582.02,47290.12,30.30555,0.3495247,0.08738118,-0.2610394,-0.7309103,-68,44,4,1
2025-04-30T13:00:00,6.458233,30726.29,47574.8,30.50274,0.5365239,0.134131,0.1137214,0.31842,-68,44,4,1
2025-04-30T14:00:00,6.510225,30809.99,47631.15,30.54806,0.3751103,0.09377757,-0.1966061,-0.5504971,-68,44,4,1
2025-04-30T15:00:00,6.532648,30720.57,47461.5,30.43009,0.9961323,0.2490331,-0.07961738,-0.2229287,-68,44,4,1
2025-04-30T16:00:00,6.631656,30660.59,47230.84,30.27666,0.4505196,0.1126299,0.1033847,0.2894773,-68,44,4,1
2025-04-30T17:00:00,6.516471,30547.42,47216.52,30.2549,0.6143259,0.1535815,0.1193337,0.3341344,-68,44,4,1
2025-04-30T18:00:00,6.496594,30524.56,47208.89,30.24747,1.397016,0.3492539,0.7358387,2.060348,-68,44,4,1
2025-04-30T19:00:00,6.536037,30505.89,47125.12,30.19216,2.077513,0.5193783,1.007022,2.819662,-68,44,4,1
2025-04-30T20:00:00,6.467289,30591.25,47353.03,30.34654,1.855381,0.4638452,1.291331,3.615727,-68,44,4,1
2025-04-30T21:00:00,6.448159,30654.73,47478.15,30.4332,1.978685,0.4946712,0.9159154,2.564563,-68,44,4,1
2025-04-30T22:00:00,6.44989,30664.19,47490.36,30.44204,1.908449,0.4771121,0.9439276,2.642997,-68,44,4,1
2025-04-30T23:00:00,6.417478,30563.31,47379.55,30.36019,2.230195,0.5575486,1.035496,2.89939,-68,44,4,1
2025-05-01T00:00:00,6.223952,30589.11,47692.84,30.5617,1.83751,0.4593775,1.961232,5.491451,-68,44,4,1
2025-05-01T01:00:00,5.91187,30518.58,48029.23,30.76566,2.127672,0.5319179,0.8951763,2.506494,-68,44,4,1
2025-05-01T02:00:00,6.042334,30505.83,47821.63,30.63319,1.215045,0.3037613,0.9298258,2.603512,-68,44,4,1
2025-05-01T03:00:00,5.898075,30446.82,47936.18,30.69823,2.089194,0.5222985,0.5502193,1.540614,-68,44,4,1
2025-05-01T04:00:00,5.915578,30428.16,47881.59,30.66157,2.510695,0.6276739,0.5775083,1.617023,-68,44,4,1
2025-05-01T05:00:00,5.884364,30426.04,47923.23,30.68753,1.707384,0.4268461,1.364691,3.821135,-68,44,4,1
2025-05-01T06:00:00,5.867575,30404.69,47913.8,30.67897,1.510253,0.3775632,1.434352,4.016186,-68,44,4,1
2025-05-01T07:00:00,5.902258,30403.85,47862.5,30.64657,0.7615989,0.1903997,0.1486793,0.4163021,-68,44,4,1
2025-05-01T08:00:00,5.935348,30438.32,47869.14,30.65497,0.5648939,0.1412235,0.04471088,0.1251905,-68,44,4,1
2025-05-01T09:00:00,5.954042,30478.55,47905.51,30.6828,0.534498,0.1336245,-0.1643902,-0.4602925,-68,44,4,1
2025-05-01T10:00:00,5.917721,30530.8,48040.03,30.77396,0.2426006,0.06065014,-0.2026393,-0.56739,-68,44,4,1
2025-05-01T11:00:00,6.034625,30612.36,47999.71,30.75845,0.2653183,0.06632957,-0.2524755,-0.7069314,-68,44,4,1
2025-05-01T12:00:00,6.224161,30688.83,47848.02,30.67166,0.08449186,0.02112297,-0.2430667,-0.6805868,-68,44,4,1
2025-05-01T13:00:00,6.249672,30724.96,47867.97,30.68855,0.2562161,0.06405403,-0.2233348,-0.6253374,-68,44,4,1
2025-05-01T14:00:00,6.27569,30801.66,47950.34,30.74973,0.3559874,0.08899685,0.0400597,0.1121671,-68,44,4,1
2025-05-01T15:00:00,6.193934,30838.43,48124.58,30.86445,0.1085545,0.02713863,-0.2499342,-0.6998159,-68,44,4,1
2025-05-01T16:00:00,6.184397,30884.27,48209.82,30.92385,0.4396794,0.1099198,-0.03479741,-0.09743274,-68,44,4,1
2025-05-01T17:00:00,6.282501,30846.98,48011.18,30.79361,0.7261499,0.1815375,-0.1612414,-0.4514758,-68,44,4,1
2025-05-01T18:00:00,6.102528,30738.62,48099.88,30.83693,0.9264013,0.2316003,0.1686648,0.4722614,-68,44,4,1
2025-05-01T19:00:00,6.006417,30693.8,48168.11,30.87463,1.266844,0.3167109,0.5859135,1.640558,-68,44,4,1
2025-05-01T20:00:00,6.068511,30743.32,48156.18,30.87308,1.445212,0.361303,0.3712268,1.039435,-68,44,4,1
2025-05-01T21:00:00,6.075102,30827.22,48278.09,30.96023,1.281348,0.3203371,0.5298747,1.483649,-68,44,4,1
2025-05-01T22:00:00,6.153737,30826.72,48164.02,30.88802,3.231789,0.8079473,0.6645643,1.86078,-68,44,4,1
2025-05-01T23:00:00,6.118721,30854.64,48258.06,30.95086,1.918859,0.4797146,1.57638,4.413864,-68,44,4,1
2025-05-02T00:00:00,5.99957,30808.12,48357.42,31.00805,1.303585,0.3258963,0.6731348,1.884777,-68,44,4,1
2025-05-02T01:00:00,6.056797,30750.76,48184.73,30.89202,1.754881,0.4387203,0.5037911,1.410615,-68,44,4,1
2025-05-02T02:00:00,6.049888,30779.51,48239.75,30.93025,1.777354,0.4443386,0.7932511,2.221103,-68,44,4,1
2025-05-02T03:00:00,6.006517,30760.24,48272.21,30.94843,1.6209,0.4052249,1.024991,2.869974,-68,44,4,1
2025-05-02T04:00:00,5.974129,30770.72,48335.59,30.98972,2.688871,0.6722177,0.9919266,2.777394,-68,44,4,1
2025-05-02T05:00:00,6.012701,30770.66,48279.63,30.95437,1.70512,0.42628,0.6210621,1.738974,-68,44,4,1
2025-05-02T06:00:00,6.012245,30713.6,48190.75,30.89132,2.892632,0.7231579,0.7889889,2.209169,-68,44,4,1
2025-05-02T07:00:00,6.027245,30680.78,48117.62,30.84118,1.343058,0.3357646,0.4006683,1.121871,-68,44,4,1
2025-05-02T08:00:00,6.098147,30699.96,48045.66,30.79804,2.6972,0.6743,0.9993939,2.798303,-68,44,4,1
2025-05-02T09:00:00,6.085622,30696.02,48057.48,30.80503,1.270777,0.3176944,0.5171635,1.448058,-68,44,4,1
2025-05-02T10:00:00,6.097387,30729.9,48093.62,30.83193,0.9573448,0.2393362,0.9268848,2.595277,-68,44,4,1
2025-05-02T11:00:00,6.030474,30779.43,48267.67,30.94789,1.626106,0.4065265,0.9532771,2.669176,-68,44,4,1
2025-05-02T12:00:00,5.9969,30805.9,48357.82,31.00804,1.462178,0.3655445,1.338507,3.74782,-68,44,4,1
2025-05-02T13:00:00,6.054239,30771.97,48221.65,30.91792,2.794047,0.6985117,1.998253,5.595107,-68,44,4,1
